PLC_Tag,Address,RegisterType,DataType,FunctionCode,AccessType,Description,Unit,SignalType,DCS_Tag,DCS_Functions
2711-PM-1303A_STA.MCU,83,1,BOOL,2,Read,MCU.2711-PM-1303A - SM Circulating Pump_Motor Operation 1:Running 0:Stopped,"",Permanent,"",""
2711-PM-1303A_EM_STOP.MCU,84,1,BOOL,2,Read,MCU.2711-PM-1303A - SM Circulating Pump_Emergency shutdown 1:Emergency shutdown 0:Normal,"",Permanent,"",""
2711-PM-1303A_SWITCH_ON.MCU,85,1,BOOL,2,Read,MCU.2711-PM-1303A - SM Circulating Pump_MCCB Closed 1:Closed Position 0:Open Position,"",Permanent,"",""
2711-PM-1303A_MCCB POSITION.MCU,86,1,BOOL,2,Read,MCU.2711-PM-1303A - SM Circulating Pump_MCCB Working Position 1:Working Position 0:Test Position,"",Permanent,"",""
2711-PM-1303A_REDAY.MCU,87,1,BOOL,2,Read,MCU.2711-PM-1303A - SM Circulating Pump_Motor Ready 1:Ready 0:Not Ready,"",Permanent,"",""
2713-PM-0002_TX.MCU,88,1,BOOL,2,Read,MCU.2713-PM-0002 - Drain Pump_Communication Status 1:Communication Normal 0:Communication Interrupted,"",Permanent,"",""
2713-PM-0002_PERMIT.MCU,89,1,BOOL,2,Read,MCU.2713-PM-0002 - Drain Pump_Permitted State 1:Permit 0:No Permit,"",Permanent,"",""
2713-PM-0002_FAULT.MCU,90,1,BOOL,2,Read,MCU.2713-PM-0002 - Drain Pump_General Fault 1:Fault 0:Normal,"",Permanent,"",""
2713-PM-0002_STA.MCU,91,1,BOOL,2,Read,MCU.2713-PM-0002 - Drain Pump_Motor Operation 1:Running 0:Stopped,"",Permanent,"",""
2713-PM-0002_EM_STOP.MCU,92,1,BOOL,2,Read,MCU.2713-PM-0002 - Drain Pump_Emergency shutdown 1:Emergency shutdown 0:Normal,"",Permanent,"",""
2713-PM-0002_SWITCH_ON.MCU,93,1,BOOL,2,Read,MCU.2713-PM-0002 - Drain Pump_MCCB Closed 1:Closed Position 0:Open Position,"",Permanent,"",""
2713-PM-0002_MCCB POSITION.MCU,94,1,BOOL,2,Read,MCU.2713-PM-0002 - Drain Pump_MCCB Working Position 1:Working Position 0:Test Position,"",Permanent,"",""
2713-PM-0002_REDAY.MCU,95,1,BOOL,2,Read,MCU.2713-PM-0002 - Drain Pump_Motor Ready 1:Ready 0:Not Ready,"",Permanent,"",""
2630-PM-002A_TX.MCU,96,1,BOOL,2,Read,MCU.2630-PM-002A - Pump of Standby HP Flare_Communication Status 1:Communication Normal 0:Communication Interrupted,"",Permanent,"",""
2630-PM-002A_PERMIT.MCU,97,1,BOOL,2,Read,MCU.2630-PM-002A - Pump of Standby HP Flare_Permitted State 1:Permit 0:No Permit,"",Permanent,"",""
2630-PM-002A_FAULT.MCU,98,1,BOOL,2,Read,MCU.2630-PM-002A - Pump of Standby HP Flare_General Fault 1:Fault 0:Normal,"",Permanent,"",""
2630-PM-002A_STA.MCU,99,1,BOOL,2,Read,MCU.2630-PM-002A - Pump of Standby HP Flare_Motor Operation 1:Running 0:Stopped,"",Permanent,"",""
2630-PM-002A_EM_STOP.MCU,100,1,BOOL,2,Read,MCU.2630-PM-002A - Pump of Standby HP Flare_Emergency shutdown 1:Emergency shutdown 0:Normal,"",Permanent,"",""
2630-PM-002A_SWITCH_ON.MCU,101,1,BOOL,2,Read,MCU.2630-PM-002A - Pump of Standby HP Flare_MCCB Closed 1:Closed Position 0:Open Position,"",Permanent,"",""
2630-PM-002A_MCCB POSITION.MCU,102,1,BOOL,2,Read,MCU.2630-PM-002A - Pump of Standby HP Flare_MCCB Working Position 1:Working Position 0:Test Position,"",Permanent,"",""
2630-PM-002A_REDAY.MCU,103,1,BOOL,2,Read,MCU.2630-PM-002A - Pump of Standby HP Flare_Motor Ready 1:Ready 0:Not Ready,"",Permanent,"",""
2630-PM-003A_TX.MCU,104,1,BOOL,2,Read,MCU.2630-PM-003A - Pump of LP Flare_Communication Status 1:Communication Normal 0:Communication Interrupted,"",Permanent,"",""
2630-PM-003A_PERMIT.MCU,105,1,BOOL,2,Read,MCU.2630-PM-003A - Pump of LP Flare_Permitted State 1:Permit 0:No Permit,"",Permanent,"",""
2630-PM-003A_FAULT.MCU,106,1,BOOL,2,Read,MCU.2630-PM-003A - Pump of LP Flare_General Fault 1:Fault 0:Normal,"",Permanent,"",""
2630-PM-003A_STA.MCU,107,1,BOOL,2,Read,MCU.2630-PM-003A - Pump of LP Flare_Motor Operation 1:Running 0:Stopped,"",Permanent,"",""
2630-PM-003A_EM_STOP.MCU,108,1,BOOL,2,Read,MCU.2630-PM-003A - Pump of LP Flare_Emergency shutdown 1:Emergency shutdown 0:Normal,"",Permanent,"",""
2630-PM-003A_SWITCH_ON.MCU,109,1,BOOL,2,Read,MCU.2630-PM-003A - Pump of LP Flare_MCCB Closed 1:Closed Position 0:Open Position,"",Permanent,"",""
2630-PM-003A_MCCB POSITION.MCU,110,1,BOOL,2,Read,MCU.2630-PM-003A - Pump of LP Flare_MCCB Working Position 1:Working Position 0:Test Position,"",Permanent,"",""
2630-PM-003A_REDAY.MCU,111,1,BOOL,2,Read,MCU.2630-PM-003A - Pump of LP Flare_Motor Ready 1:Ready 0:Not Ready,"",Permanent,"",""
2711-PM-1302A_TX.MCU,112,1,BOOL,2,Read,MCU.2711-PM-1302A - SM Transfer Pump_Communication Status 1:Communication Normal 0:Communication Interrupted,"",Permanent,"",""
2711-PM-1302A_PERMIT.MCU,113,1,BOOL,2,Read,MCU.2711-PM-1302A - SM Transfer Pump_Permitted State 1:Permit 0:No Permit,"",Permanent,"",""
2711-PM-1302A_FAULT.MCU,114,1,BOOL,2,Read,MCU.2711-PM-1302A - SM Transfer Pump_General Fault 1:Fault 0:Normal,"",Permanent,"",""
2711-PM-1302A_STA.MCU,115,1,BOOL,2,Read,MCU.2711-PM-1302A - SM Transfer Pump_Motor Operation 1:Running 0:Stopped,"",Permanent,"",""
2711-PM-1302A_EM_STOP.MCU,116,1,BOOL,2,Read,MCU.2711-PM-1302A - SM Transfer Pump_Emergency shutdown 1:Emergency shutdown 0:Normal,"",Permanent,"",""
2711-PM-1302A_SWITCH_ON.MCU,117,1,BOOL,2,Read,MCU.2711-PM-1302A - SM Transfer Pump_MCCB Closed 1:Closed Position 0:Open Position,"",Permanent,"",""
2711-PM-1302A_MCCB POSITION.MCU,118,1,BOOL,2,Read,MCU.2711-PM-1302A - SM Transfer Pump_MCCB Working Position 1:Working Position 0:Test Position,"",Permanent,"",""
2711-PM-1302A_REDAY.MCU,119,1,BOOL,2,Read,MCU.2711-PM-1302A - SM Transfer Pump_Motor Ready 1:Ready 0:Not Ready,"",Permanent,"",""
2711-PM-1301A_TX.MCU,120,1,BOOL,2,Read,MCU.2711-PM-1301A - SM Loading Pump (Railway)_Communication Status 1:Communication Normal 0:Communication Interrupted,"",Permanent,"",""
